Stadtteile;Bevölkerung;Unter 18-Jährige; 65-Jährige und Ältere;Ausländerinnen und Ausländer;Bevölkerung mit Migrations-hintergrund;Unter 18-Jährige mit Migrations-hintergrund;Haushalte;Einpersonen-haushalte;Haushalte mit Kindern;Alleinerziehende;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Fortzüge;Wanderungssaldo;Sozial-versicherungs-pflichtig Beschäftigte (Juni 2017);Arbeitslose (Dez 2017);Jüngere Arbeitslose (Dez 2017);Ältere Arbeitslose (Dez 2017);Leistungs-empfänger/-innen nach SGB II (Dez 2017);Unter 15-Jährige in Mindestsicherung (Dez 2017);Bedarfs-gemeinschaften nach SGB II (Dez 2017);Lohn- und Einkommen-steuerpflichtige (2013);Gesamtbetrag der Einkünfte je Steuerpflichtigen in EUR (2013);Wohngebäude (2017);Wohnungen (2017);Bezugsfertige Wohnungen (2017);Wohnungen in Ein- und Zweifamilien-häusern (2017);Sozialwohnungen (Jan 2018);Sozialwohnungen mit Bindungsauslauf bis 2023;Preise für Grundstücke in EUR/m² (Jan 2018);Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2018);Preise für Eigentums-wohnungen in EUR/m² (Jan 2018);Kindergärten und Vorschulklassen (März 2018);Grundschulen (2017/2018);Schülerinnen und Schüler der Sekundarstufe I (2017/2018);Niedergelassene Ärzte (Jan 2018);Allgemeinärzte (Jan 2018);Zahnärzte (Dez 2017);Apotheken (Dez 2017);Private PKW (Jan 2018);PKW-Dichte (Jan 2018)
Hamburg-Altstadt; 2 305    ;277;256;506;990;182; 1 508    ;939;187;47; 1 773    ;46;8;344;343;1; 1 127    ;98;8;9;244;63;136; 1 952    ; 31 336    ;99; 1 346    ;2;17;189;51;.    ;.    ;5710;1;-    ;61;161;48;45;8;629;273
HafenCity; 3 627    ;756;333; 1 168    ; 1 718    ;512; 1 745    ;707;416;62; 1 495    ;68;9;903;665;238; 1 191    ;86;11;7;487;171;205; 1 255    ; 93 206    ;86; 1 478    ;182;6;8;-    ;.    ;.    ;7958;4;1;138;13;5;7;1;960;265
Neustadt; 12 719    ; 1 456    ; 1 836    ; 2 580    ; 4 670    ;732; 8 755    ; 6 042    ; 1 006    ;287; 5 623    ;152;70; 1 819    ; 1 813    ;6; 5 671    ;504;26;106;969;151;666; 7 015    ; 34 521    ;641; 7 482    ;49;67; 1 360    ;617;.    ;.    ;5081;11;1;400;173;18;76;9; 3 131    ;246
St. Pauli; 22 501    ; 2 991    ; 2 150    ; 4 880    ; 8 309    ; 1 435    ; 15 163    ; 10 462    ; 1 974    ;638; 10 034    ;239;150; 2 933    ; 2 823    ;110; 9 368    ; 1 316    ;60;220; 2 987    ;607; 1 933    ; 11 066    ; 27 977    ; 1 281    ; 12 481    ;100;169; 1 828    ;438; 1 316    ;.    ;5991;18;1;818;39;11;15;8; 4 370    ;194
St. Georg; 11 055    ; 1 108    ; 1 397    ; 2 552    ; 4 274    ;588; 7 207    ; 4 892    ;732;179; 6 065    ;116;90; 2 005    ; 1 770    ;235; 4 743    ;427;25;71;819;128;549; 5 683    ; 44 121    ;537; 6 091    ;64;56;684;260; 2 179    ;.    ;5169;8;3;299;106;36;15;7; 2 300    ;208
Hammerbrook; 3 939    ;448;133; 1 812    ; 2 470    ;379; 2 009    ; 1 314    ;201;55; 1 578    ;61;8; 1 356    ; 1 615    ;-259; 1 645    ;248;29;26;724;155;475; 1 199    ; 19 468    ;86; 1 877    ;203;6;219;-    ;860;.    ;3814;5;1;119;-    ;-    ;12;-    ;497;126
Borgfelde; 7 635    ;834;923; 2 201    ; 3 403    ;588; 4 462    ; 3 065    ;441;125; 9 290    ;72;54; 1 631    ; 1 530    ;101; 3 296    ;302;25;49;888;224;508; 3 643    ; 26 217    ;380; 4 379    ;30;43;134;34;664;.    ;3614;3;-    ;211;3;2;4;2; 1 645    ;215
Hamm; 38 716    ; 4 453    ; 5 398    ; 7 037    ; 13 792    ; 2 795    ; 26 171    ; 17 808    ; 2 871    ;888; 9 956    ;487;331; 5 488    ; 5 066    ;422; 18 895    ; 1 542    ;90;236; 3 952    ;980; 2 304    ; 21 255    ; 25 745    ; 2 314    ; 23 287    ;45;258; 1 228    ;99;397;.    ;3414;15;4; 1 168    ;25;11;28;6; 10 136    ;262
Horn; 38 569    ; 6 001    ; 6 039    ; 9 906    ; 19 729    ; 4 474    ; 22 763    ; 13 535    ; 3 596    ; 1 188    ; 6 540    ;439;417; 4 622    ; 4 587    ;35; 15 209    ; 1 885    ;137;283; 6 428    ; 1 844    ; 3 345    ; 17 772    ; 21 685    ; 2 760    ; 19 338    ;42;994; 1 637    ;101;382; 3 178    ;2789;15;5; 1 854    ;37;21;14;6; 10 075    ;261
Billstedt; 70 539    ; 13 653    ; 12 646    ; 17 768    ; 40 525    ; 10 337    ; 35 135    ; 16 421    ; 7 814    ; 2 378    ; 4 168    ;873;694; 5 825    ; 5 470    ;355; 24 312    ; 3 842    ;339;572; 14 833    ; 4 459    ; 6 906    ; 29 100    ; 23 247    ; 7 970    ; 31 632    ;46; 6 274    ; 7 450    ; 2 564    ;401; 3 089    ;2932;26;8; 4 504    ;95;45;33;8; 21 704    ;308
Billbrook; 2 097    ;650;116; 1 635    ; 1 806    ;632;628;464;68;18;333;40;10;645;743;-98;493;167;24;19; 1 000    ;387;372;403; 22 625    ;83;284;-    ;72;-    ;-    ;248;.    ;2932;1;1;217;-    ;-    ;-    ;-    ;297;142
Rothenburgsort; 9 225    ; 1 581    ; 1 344    ; 2 593    ; 5 147    ; 1 242    ; 5 275    ; 3 150    ;892;295; 1 283    ;103;101; 1 107    ; 1 033    ;74; 3 554    ;547;38;82; 1 841    ;575;912; 4 024    ; 20 473    ;523; 4 596    ;38;137;903;225;274;.    ;3937;4;1;461;5;5;5;2; 2 380    ;258
Veddel; 4 667    ;925;388; 2 106    ; 3 374    ;848; 2 510    ; 1 433    ;520;146; 1 068    ;52;15;609;583;26; 1 769    ;333;29;36; 1 118    ;334;505; 1 911    ; 15 831    ;210; 2 040    ;-    ;14;413;98;247;.    ;3937;2;1;340;3;3;3;-    ;787;169
Wilhelmsburg; 54 169    ; 11 236    ; 7 294    ; 17 593    ; 32 447    ; 8 767    ; 26 250    ; 12 879    ; 6 068    ; 1 604    ; 1 531    ;743;475; 5 229    ; 6 176    ;-947; 19 577    ; 3 399    ;282;424; 11 703    ; 3 666    ; 5 255    ; 21 384    ; 21 890    ; 4 653    ; 22 618    ;55; 3 174    ; 5 245    ;650;231; 2 810    ;3249;27;7; 3 640    ;71;39;22;9; 13 544    ;250
Kleiner Grasbrook und Steinwerder; 1 243    ;70;67;464;615;61;973;759;38;17;104;7;7;383;360;23;547;95;6;12;185;34;128;588; 13 777    ;70;735;-    ;2;-    ;-    ;.    ;.    ;3814;-    ;-    ;20;-    ;-    ;-    ;-    ;118;95
Waltershof und Finkenwerder; 11 765    ; 1 896    ; 2 316    ; 1 985    ; 3 511    ;892; 6 341    ; 3 222    ; 1 168    ;316;400;121;119;870;784;86; 4 802    ;404;26;76; 1 097    ;293;596; 5 919    ; 31 649    ; 2 299    ; 5 777    ;-    ; 1 915    ;701;176;296; 2 248    ;4514;5;2;561;7;5;7;3; 4 386    ;373
Altona-Altstadt; 29 408    ; 4 486    ; 3 783    ; 5 757    ; 11 150    ; 2 346    ; 18 059    ; 11 314    ; 2 928    ;910; 10 820    ;390;211; 3 453    ; 3 339    ;114; 12 181    ; 1 544    ;112;263; 3 611    ;816; 2 196    ; 14 861    ; 30 833    ; 1 611    ; 16 313    ;219;187; 2 320    ;605; 1 465    ;.    ;6064;27;3; 1 239    ;191;48;42;9; 6 708    ;228
Sternschanze; 8 080    ; 1 146    ;828; 1 612    ; 2 962    ;587; 5 250    ; 3 542    ;759;232; 14 732    ;97;110; 1 254    ; 1 221    ;33; 3 399    ;388;20;53;883;211;513; 4 147    ; 31 125    ;498; 4 305    ;-    ;80;456;77; 1 316    ;.    ;5302;4;1;287;39;6;4;2; 1 447    ;179
Altona-Nord; 22 946    ; 3 647    ; 2 297    ; 4 387    ; 8 365    ; 1 875    ; 13 954    ; 8 752    ; 2 299    ;651; 10 346    ;331;113; 3 371    ; 2 901    ;470; 9 761    ; 1 139    ;61;170; 2 737    ;662; 1 617    ; 11 541    ; 29 901    ; 1 159    ; 12 084    ;229;123; 1 332    ;277; 1 153    ;.    ;6064;14;2;955;34;6;6;5; 5 166    ;225
Ottensen; 35 480    ; 5 585    ; 4 891    ; 4 577    ; 9 342    ; 1 933    ; 21 616    ; 13 264    ; 3 745    ; 1 026    ; 12 693    ;457;214; 3 801    ; 3 916    ;-115; 14 942    ; 1 197    ;59;220; 2 205    ;415; 1 462    ; 18 815    ; 40 830    ; 2 399    ; 19 593    ;108;416; 1 086    ;572; 1 599    ;.    ;5512;34;4; 1 547    ;175;28;61;9; 9 646    ;272
Bahrenfeld; 31 160    ; 5 216    ; 3 988    ; 7 464    ; 11 481    ; 2 606    ; 16 912    ; 9 934    ; 2 961    ;711; 2 956    ;403;246; 4 824    ; 4 938    ;-114; 12 442    ; 1 347    ;140;203; 3 800    ;893; 2 290    ; 14 963    ; 33 565    ; 3 535    ; 14 490    ;46; 2 309    ;372;-    ;714; 4 172    ;4514;27;4; 1 420    ;39;12;23;5; 8 654    ;278
Groß Flottbek; 11 034    ; 2 203    ; 2 368    ; 1 409    ; 2 472    ;624; 5 268    ; 2 282    ; 1 291    ;180; 4 654    ;101;95; 1 232    ; 1 181    ;51; 3 210    ;117;5;29;98;13;67; 5 126    ; 85 952    ; 2 446    ; 5 254    ;17; 2 209    ;36;-    ; 1 189    ; 6 352    ;5211;7;1;711;70;13;21;4; 4 707    ;427
Othmarschen; 15 281    ; 3 132    ; 3 190    ; 1 854    ; 3 842    ; 1 119    ; 7 214    ; 3 014    ; 1 834    ;255; 2 570    ;204;139; 1 870    ; 1 629    ;241; 4 702    ;234;14;44;462;138;219; 7 056    ; 108 258    ; 2 748    ; 7 020    ;58; 2 357    ;157;-    ; 1 481    ; 7 143    ;5646;13;3;833;42;8;10;1; 6 606    ;432
Lurup; 36 257    ; 7 301    ; 6 669    ; 7 271    ; 17 291    ; 4 814    ; 17 619    ; 7 927    ; 4 140    ; 1 201    ; 5 762    ;401;402; 2 960    ; 2 835    ;125; 12 961    ; 1 727    ;172;248; 6 084    ; 1 980    ; 2 832    ; 15 733    ; 26 665    ; 5 453    ; 15 989    ;34; 5 206    ; 2 153    ;349;476; 3 425    ;3239;22;4; 2 373    ;28;14;12;6; 11 736    ;324
Osdorf; 26 422    ; 5 370    ; 5 907    ; 4 781    ; 10 647    ; 3 068    ; 13 117    ; 6 136    ; 3 009    ;870; 3 644    ;275;349; 2 623    ; 2 243    ;380; 8 358    ; 1 019    ;82;135; 3 743    ; 1 222    ; 1 765    ; 11 482    ; 43 177    ; 4 046    ; 12 584    ;157; 3 351    ; 1 224    ;682;824; 5 302    ;3621;14;4; 1 745    ;71;18;16;5; 9 099    ;344
Nienstedten; 7 307    ; 1 453    ; 1 864    ;778; 1 448    ;394; 3 545    ; 1 547    ;826;119; 1 668    ;43;109;807;682;125; 1 784    ;78;-    ;19;51;6;38; 3 286    ; 120 716    ; 1 822    ; 3 242    ;36; 1 720    ;-    ;-    ; 1 343    ; 6 967    ;5886;7;1;496;17;1;8;2; 3 681    ;504
Blankenese; 13 491    ; 2 481    ; 3 722    ; 1 118    ; 2 370    ;619; 7 002    ; 3 203    ; 1 454    ;252; 1 744    ;112;105; 1 253    ; 1 170    ;83; 3 566    ;129;12;30;159;24;112; 6 279    ; 117 139    ; 3 406    ; 6 857    ;59; 3 114    ;48;-    ; 1 670    ; 6 870    ;5908;8;3;851;112;23;24;6; 6 639    ;492
Iserbrook; 11 468    ; 2 076    ; 2 883    ;998; 2 506    ;696; 5 690    ; 2 561    ; 1 252    ;305; 4 295    ;105;147; 1 004    ;842;162; 3 891    ;261;9;60;611;160;350; 5 539    ; 39 439    ; 2 484    ; 5 698    ;15; 2 313    ;132;-    ;612; 4 265    ;3291;9;3;681;8;6;6;1; 4 664    ;407
Sülldorf; 9 542    ; 1 888    ; 1 959    ; 1 295    ; 2 313    ;592; 4 567    ; 2 123    ; 1 037    ;231; 1 663    ;85;82; 1 020    ;910;110; 3 051    ;297;27;55;776;190;448; 4 247    ; 43 584    ; 2 414    ; 4 431    ;50; 2 274    ;200;-    ;759; 5 243    ;4502;2;1;649;13;7;3;2; 3 713    ;389
Rissen; 15 327    ; 2 825    ; 4 664    ; 1 239    ; 2 753    ;812; 7 785    ; 3 533    ; 1 657    ;325;918;101;221; 1 196    ; 1 029    ;167; 4 288    ;286;12;63;603;163;336; 7 287    ; 65 855    ; 3 765    ; 7 442    ;55; 3 496    ;178;124;641; 4 475    ;3942;7;2;958;32;7;16;4; 6 741    ;440
Eimsbüttel; 57 541    ; 7 384    ; 7 254    ; 6 919    ; 13 528    ; 2 407    ; 38 707    ; 26 071    ; 5 065    ; 1 287    ; 17 839    ;838;300; 6 999    ; 7 181    ;-182; 27 126    ; 1 651    ;86;271; 2 578    ;429; 1 811    ; 32 492    ; 37 536    ; 3 259    ; 34 235    ;92;310;666;265; 1 557    ;.    ;4982;63;8; 1 827    ;290;32;57;12; 14 983    ;260
Rotherbaum; 16 744    ; 2 275    ; 2 623    ; 2 837    ; 5 064    ;847; 10 841    ; 6 998    ; 1 446    ;324; 6 121    ;173;99; 2 633    ; 2 413    ;220; 6 212    ;366;12;64;435;59;318; 8 142    ; 68 191    ; 1 200    ; 9 980    ;49;330;79;79; 3 692    ; 6 316    ;6668;16;2;631;130;19;45;8; 5 371    ;321
Harvestehude; 17 952    ; 2 775    ; 3 685    ; 2 352    ; 4 770    ;960; 10 896    ; 6 468    ; 1 718    ;343; 8 755    ;197;120; 2 227    ; 2 125    ;102; 5 776    ;382;28;73;611;105;416; 9 233    ; 111 088    ; 1 347    ; 10 036    ;1;533;75;45; 4 034    ; 8 416    ;8560;19;1;794;149;14;50;5; 6 871    ;383
Hoheluft-West; 13 337    ; 1 657    ; 1 817    ; 1 483    ; 2 850    ;463; 8 952    ; 5 928    ; 1 191    ;294; 18 536    ;176;75; 2 049    ; 1 889    ;160; 6 316    ;317;10;60;372;57;281; 7 902    ; 42 169    ;803; 8 018    ;97;108;12;-    ; 1 838    ;.    ;5624;9;1;413;32;8;11;3; 3 677    ;276
Lokstedt; 28 534    ; 4 858    ; 5 833    ; 3 979    ; 8 480    ; 2 085    ; 15 592    ; 8 460    ; 2 973    ;604; 5 828    ;320;313; 3 187    ; 3 081    ;106; 11 033    ;750;67;134; 2 032    ;522; 1 048    ; 14 273    ; 41 778    ; 3 194    ; 14 888    ;121; 2 137    ;193;53;734; 4 523    ;4403;22;4; 1 332    ;61;18;17;7; 9 513    ;333
Niendorf; 41 670    ; 6 558    ; 10 857    ; 4 289    ; 9 293    ; 2 313    ; 21 810    ; 10 412    ; 4 022    ;821; 3 356    ;359;474; 3 947    ; 4 096    ;-149; 15 119    ;734;52;175; 1 505    ;346;918; 20 811    ; 41 651    ; 8 523    ; 20 814    ;90; 7 356    ;760;573;539; 3 842    ;3146;19;5; 1 996    ;94;27;37;8; 17 484    ;420
Schnelsen; 29 578    ; 5 526    ; 5 902    ; 4 140    ; 9 418    ; 2 634    ; 14 157    ; 6 159    ; 3 237    ;798; 3 305    ;294;298; 3 416    ; 3 247    ;169; 11 015    ;882;80;170; 2 736    ;850; 1 317    ; 13 530    ; 37 866    ; 5 831    ; 13 409    ;121; 5 320    ; 1 674    ;85;489; 3 696    ;3026;25;4; 1 734    ;51;17;28;6; 12 023    ;406
Eidelstedt; 32 601    ; 5 334    ; 7 197    ; 5 339    ; 11 656    ; 2 958    ; 17 329    ; 8 533    ; 3 275    ;822; 3 738    ;343;392; 2 946    ; 2 701    ;245; 12 328    ; 1 159    ;117;186; 3 403    ;960; 1 757    ; 15 376    ; 30 938    ; 5 094    ; 15 913    ;141; 4 393    ; 1 307    ;140;455; 3 310    ;2939;10;5; 1 609    ;53;16;20;5; 11 474    ;352
Stellingen; 25 753    ; 3 565    ; 4 868    ; 4 649    ; 8 636    ; 1 733    ; 14 618    ; 8 400    ; 2 229    ;517; 4 229    ;294;243; 3 935    ; 3 913    ;22; 10 633    ;852;61;139; 1 958    ;405; 1 259    ; 12 277    ; 32 600    ; 2 783    ; 13 815    ;107; 1 688    ;197;89;491; 4 042    ;3857;11;3;901;37;13;8;3; 8 123    ;315
Hoheluft-Ost; 9 624    ; 1 292    ; 1 489    ; 1 011    ; 2 140    ;378; 6 261    ; 3 940    ;887;216; 17 018    ;132;53; 1 219    ; 1 276    ;-57; 4 243    ;212;7;53;304;39;238; 5 182    ; 52 006    ;633; 6 004    ;-    ;93;106;-    ; 2 243    ;.    ;5624;6;-    ;314;190;48;20;4; 3 101    ;322
Eppendorf; 24 718    ; 3 392    ; 4 563    ; 2 395    ; 5 078    ;972; 15 336    ; 9 491    ; 2 224    ;473; 9 260    ;327;228; 3 423    ; 3 227    ;196; 10 444    ;448;24;97;538;66;407; 13 210    ; 58 438    ; 1 631    ; 14 152    ;26;374;625;103; 2 522    ; 6 589    ;5688;14;3;880;161;28;45;11; 7 925    ;321
Groß Borstel; 8 499    ; 1 387    ; 1 796    ; 1 312    ; 2 288    ;510; 4 736    ; 2 666    ;772;188; 2 132    ;71;84; 1 291    ; 1 242    ;49; 3 081    ;251;14;60;603;119;399; 4 064    ; 42 631    ; 1 752    ; 4 443    ;3; 1 577    ;177;46;553; 4 187    ;3622;8;2;448;5;4;7;2; 3 171    ;373
Alsterdorf; 15 031    ; 2 484    ; 2 837    ; 2 026    ; 4 094    ; 1 036    ; 8 109    ; 4 352    ; 1 479    ;359; 4 764    ;168;157; 2 100    ; 1 524    ;576; 5 421    ;390;32;67; 1 109    ;332;539; 6 302    ; 52 426    ; 1 995    ; 7 728    ;125; 1 312    ;588;143;886; 6 451    ;4486;11;2;715;38;9;10;4; 5 209    ;347
Winterhude; 55 651    ; 6 973    ; 8 101    ; 6 847    ; 13 449    ; 2 463    ; 35 750    ; 23 261    ; 4 691    ; 1 059    ; 7 338    ;777;340; 7 560    ; 7 224    ;336; 25 894    ; 1 356    ;95;259; 2 372    ;418; 1 610    ; 29 898    ; 51 627    ; 3 651    ; 32 860    ;256;725;552;82; 2 855    ; 7 014    ;5780;42;5; 1 642    ;230;39;78;14; 17 559    ;316
Uhlenhorst; 18 017    ; 2 274    ; 3 489    ; 1 940    ; 4 370    ;831; 11 448    ; 7 137    ; 1 554    ;307; 8 262    ;235;173; 2 504    ; 2 150    ;354; 7 548    ;340;9;65;425;56;317; 9 924    ; 62 479    ; 1 209    ; 10 729    ;79;243;179;-    ; 3 190    ;.    ;6530;10;1;528;91;23;19;4; 6 311    ;350
